公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,运维工程师,3-5年,本科,20k-40k,"创业公司,硅谷文化,精英团队,股权激励"
北京四方启点科技有限公司,四方启点,150-500人,未融资,海淀区,运维工程师,5-10年,本科,18k-25k,"福利好,待遇佳,地铁周边"
北京数字认证股份有限公司,BJCA,500-2000人,上市公司,海淀区,运维工程师,3-5年,本科,10k-15k,"国企福利,15薪,上市企业,周末双休"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,高级运维工程师,3-5年,本科,20k-30k,"周末双休,免费食堂,优秀团队,假日福利"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,海淀区,运维工程师,1-3年,本科,10k-20k,"免费三餐,年终奖,免费健身房,年度旅游"
杭州翼心信息科技有限公司,杭州翼心信息科技有限公司,15-50人,A轮,西城区,运维工程师,3-5年,本科,13k-21k,"工作氛围好,职位空间大,薪涨幅快,地理位置好"
卓越运维（北京）科技有限公司,卓越运维,500-2000人,A轮,海淀区,运维工程师,3-5年,大专,6k-8k,发展空间大
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,系统运维工程师,3-5年,本科,25k-50k,"15薪,大平台,三餐免费,健身房"
北京玩在一起科技有限公司,玩加电竞,15-50人,A轮,朝阳区,运维工程师,1-3年,大专,13k-26k,"技术大牛,管理扁平,14薪,福利好"
虫星（北京）科技有限公司,虫星,15-50人,A轮,海淀区,运维工程师,3-5年,本科,20k-40k,"硅谷团建,福利多,大牛多"
北京欧应信息技术有限公司,唯医网,150-500人,B轮,朝阳区,高级运维工程师,5-10年,本科,15k-20k,"大咖多多,发展空间大,团队氛围好,福利多多"
中信百信银行股份有限公司,百信银行,150-500人,不需要融资,朝阳区,运维工程师,3-5年,本科,20k-30k,"竞争性待遇,完善的福利"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,高级业务运维工程师,3-5年,本科,20k-30k,"福利待遇好,技术驱动型,互联网金融,午餐晚餐"
北京互连众信科技有限公司,资产360,500-2000人,D轮及以上,朝阳区,高级运维工程师,3-5年,本科,10k-20k,"七险一金,优秀团队,年底多薪"
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,（7*24小时）一线运维工程师,1-3年,本科,7k-9k,"平台好,氛围好,福利好"
北京志凌海纳科技有限公司,SmartX,50-150人,B轮,海淀区,IT 运维工程师,3-5年,本科,9k-18k,"带薪年假,五险一金,弹性工作,月度餐补"
